row.names	m.1	m.2	m.3	m.4	m.5	m.6	m.7	m.8	m.9	m.10	m.11	m.12	m.13	m.14	m.15	m.16	m.17	m.18	m.19	m.20	m.21	m.22	m.23	m.24	m.25	m.26	m.27	m.28	m.29	m.30	m.31	m.32	m.33	m.34	m.35	m.36	m.37	m.38	m.39	m.40	m.41	m.42	m.43	m.44	m.45	m.46	m.47	m.48	m.49	m.50
1	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	NA	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
2	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
3	AA	NA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	NA	NA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
4	AA	NA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	NA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
5	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
6	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA
7	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA
8	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
9	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	NA	AA	Aa	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa
10	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
11	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	AA	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa
12	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA
13	AA	AA	AA	AA	AA	AA	AA	AA	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	NA	AA	AA	AA	AA	AA	AA	AA
14	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	AA	AA	AA	AA	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa
15	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA
16	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	NA	Aa	Aa	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa
17	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	NA	AA	AA	AA
18	NA	Aa	Aa	AA	AA	AA	NA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	NA	Aa	Aa	Aa	NA	Aa	NA	AA	AA	AA	AA	Aa	Aa	NA	Aa	Aa	Aa	NA	AA	AA	AA
19	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA
