row.names	m.1	m.2	m.3	m.4	m.5	m.6	m.7	m.8	m.9	m.10	m.11	m.12	m.13	m.14	m.15	m.16	m.17	m.18	m.19	m.20	m.21	m.22	m.23	m.24	m.25	m.26	m.27	m.28	m.29	m.30	m.31	m.32	m.33	m.34	m.35	m.36	m.37	m.38	m.39	m.40	m.41	m.42	m.43	m.44	m.45	m.46	m.47	m.48	m.49	m.50
  1	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	A-	AA	AA	AA	AA	AA	AA	AA	AA	Aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	a-	AA	AA	AA	Aa	NA
  2	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	Aa	NA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	AA	AA	NA	AA	AA	AA	aa	aa	aa	aa	aa	aa	aa	aa	a-	Aa	Aa	Aa	Aa	Aa
  3	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	Aa	NA	Aa	Aa	a-	Aa	Aa	Aa	NA	aa
  4	Aa	NA	Aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	NA	aa	aa	aa	aa	aa	aa	aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	aa	a-	aa	aa	aa	aa	aa
  5	aa	aa	aa	Aa	NA	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	aa	aa	aa	aa	aa	Aa	NA	Aa	Aa	AA	aa	AA	NA	Aa	Aa	Aa	AA	AA	Aa	Aa	aa	aa	aa	Aa	a-	aa	aa	aa	NA	aa
  6	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	Aa	Aa	AA	AA	AA	AA	Aa	Aa	AA	AA	AA	AA	NA	NA	A-	AA	Aa	Aa	Aa	AA	AA	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	a-	aa	aa	aa	aa	aa
  7	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	NA	Aa	Aa	A-	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	a-	Aa	Aa	Aa	Aa	Aa
  8	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	aa	NA	aa	aa	aa	aa	aa	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	NA	Aa	Aa	Aa	Aa	aa	aa	aa	aa	aa	aa	NA	AA	AA	AA	AA	AA	AA	AA	AA	AA
  9	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	AA	AA	AA	AA	AA	AA	AA	Aa	Aa	Aa	Aa	A-	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	Aa	Aa	a-	Aa	NA	Aa	Aa	Aa
 10	aa	aa	aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	AA	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	Aa	aa	aa	aa	AA	A-	AA	Aa	Aa	Aa	aa	Aa	AA	AA	AA	Aa	Aa	NA	AA	AA	AA	aa	aa	aa	aa	a-	aa	aa	aa	aa	Aa
