marker.names	cM
m.1	0
m.2	0.86
m.3	1.94
m.4	37.31
m.5	38.26
m.6	39.95
m.7	44.66
m.8	67.58
m.9	80.69
m.10	84.66
m.11	0
m.12	12.22
m.13	32.22
m.14	34.2
m.15	52.93
m.16	54.91
m.17	62.3
m.18	62.82
m.19	63.23
m.20	70.35
m.21	0
m.22	4.45
m.23	5.9
m.24	15.57
m.25	17.47
m.26	29.46
m.27	65.45
m.28	66.2
m.29	66.86
m.30	84.84
m.31	0
m.32	10.36
m.33	22.33
m.34	33.96
m.35	41.51
m.36	44.5
m.37	82.74
m.38	88.2
m.39	97.2
m.40	99.53
m.41	0
m.42	8.71
m.43	10.96
m.44	23.55
m.45	35.26
m.46	43
m.47	52.43
m.48	54.88
m.49	59.67
m.50	89.06
